video_id,comment_id,author,author_channel_id,text,like_count,published_at,updated_at,reply_count,is_reply,parent_comment_id
IgeHOZHkAOU,UgwltcKQ6-Ry-GQsgwZ4AaABAg,@bm5906,UC3qnwOXJfvB32Ll8U8jIjtg,This was possibly the most interesting and well made video I've seen from Sky News Australia since I started watching this channel in early 2020.  I would love to watch an hour long documentary from the team who made this.,95,2023-10-23T03:49:27Z,2023-10-23T03:49:27Z,2,False,
IgeHOZHkAOU,UgwltcKQ6-Ry-GQsgwZ4AaABAg.9wC0y6USAi2A3yNQc9Pfns,@Morganasnotarobot0,UC6EF0kJuv_tXfi6D6oIyAyQ,"RioTinto it's Amazing please helping with poor dear Ones suffering in Ukraine they cry Out for precious coal🖤to help keep them Alive and well-being respect for all beautiful that need precious coal everywhere and it is very fortunate appreciated to have, May RioTinto Who have a Amazing Respectful Operation in AustToComeTo kindly Aid helping Others is Massive And Amazing. Thank you it is a fantastic opportunity Fantastic business
Most Of All fantastic help for precious coal here, paramount let people know if please send precious coal🖤to Ukraine. GodBless! 
All the while keeping us in the best of the world respectfully and appreciated.❤️Precious blessings for Absolutely All who need it urgently kindest regards to to Best Who keep RioTinto Running. AllBest. May they not stsrve maytheynot go cold may they keep hospital going for baby's sweetmsmaspopasAlldearfamilysto have a warm cooked humble meal dinner to ensure medical aid hospitals keep helping elderly & ppl injured sick
To make keep a drink warm to keep coals alive burning🔥 for a while in keeping a precious baby warm precious family's homes running, with kin leaders  ensuring a safe and sound quality of water and the Best as poss. Humans A precious lifetime Alive in the world land in the heart of A World we All need care for respectfully.",0,2024-05-28T03:59:39Z,2024-05-28T03:59:39Z,0,True,UgwltcKQ6-Ry-GQsgwZ4AaABAg
IgeHOZHkAOU,UgwltcKQ6-Ry-GQsgwZ4AaABAg.9wC0y6USAi2ADf7W34cc3m,@Jack_Hagerty,UCh0d5GkOQ5IecdUFu-XZ44A,"I bet you would love a good Sky News article getting your blood pressure up about Brisbane being called an Aboriginal name. But here they have no issue with Rio Tinto palming off thousands of jobs to automation. Skipping wages and payroll tax. And as a business paying even less tax due to investments that displace workers. Which ultimately undermines resource wealth coming back into our lower classes. 

As a self-confessed Sky News follower, tell me you don’t rage about Brisbane being called Meejing on the Mackay airport billboard (even though Sky News COMPLETELY neglected to mention the board rotated between the 2 names). And states there was mass confusion. Which was absolute total and utter crap. This is literally the first Sky News report I’ve watched that just simply states facts without putting their personal/ often biased opinion into a news piece 😂",1,2025-01-24T05:48:57Z,2025-01-24T05:48:57Z,0,True,UgwltcKQ6-Ry-GQsgwZ4AaABAg
IgeHOZHkAOU,UgxgzY9-Ri9eC9aw88F4AaABAg,@gm16v149,UCeeERHlDm78ERYHF8Jo0cLA,"I get up there quite a lot, keeps me employed and paying taxes. The autonomous trains are something else, you know there’s no driver when you see the blue lights on either side of the cab. BHP’s trains are heavier and longer but they have a driver. The locomotives in the Pilbara are fully imported from North America and are huge, you won’t see them anywhere else in Australia.",28,2023-10-23T12:14:39Z,2023-10-23T12:14:39Z,0,False,
IgeHOZHkAOU,UgzOSNWrJcSceYWtjE54AaABAg,@spacecowboy07723,UCrvT3R_61RlLOAWxRhqrZQw,I think we need to help them pay for their mining industry by taxing Aussies so they can continue processing it overseas in Singapore china then sell it back to Aussies. Guys the mining industry needs help! Let's continue not taxing them,9,2024-04-01T07:33:41Z,2024-04-01T07:38:21Z,1,False,
IgeHOZHkAOU,UgzOSNWrJcSceYWtjE54AaABAg.A1fzbQCzd-2AERmp-6qpvT,@DJ.LakeSea,UCi_z2p73Zd-D9CWPqXrmc7w,Well said. Kudos.,0,2025-02-12T12:41:28Z,2025-02-12T12:41:28Z,0,True,UgzOSNWrJcSceYWtjE54AaABAg
IgeHOZHkAOU,Ugy1VXiQqrRslUDvO4x4AaABAg,@LyndazzaNguyen,UCLpaiUmZIBmBiJHwjMaidww,I would love to work for Rio Tinto someday. Phenomenal company and Autonomous Haulage Systems is super awesome!! 🙏🙏🙏,0,2025-09-08T14:05:47Z,2025-09-08T14:05:47Z,0,False,
IgeHOZHkAOU,UgzJmOuPABg3uoPYB954AaABAg,@hotwheels70,UCdIxZrqE0v6Q92GEIp4p_ZQ,"So much for value adding. Imagine if Australia turned the iron ore into steel, imagine if Australia turned the steel into usable products and then sold that overseas rather than just the raw materials.",63,2023-10-23T03:00:19Z,2023-10-23T03:00:19Z,14,False,
IgeHOZHkAOU,UgzJmOuPABg3uoPYB954AaABAg.9wBwLFJOY9B9wBw_1-jW05,@ZELJKO472,UCrU9NX1DTX8emTcPOHEWM-Q,Don't be silly. Wind turbines and solar is the future 😆,6,2023-10-23T03:02:20Z,2023-10-23T03:02:20Z,0,True,UgzJmOuPABg3uoPYB954AaABAg
IgeHOZHkAOU,UgzJmOuPABg3uoPYB954AaABAg.9wBwLFJOY9B9wC4_x7QGyJ,@briananderson7285,UCdWb7i-uHvB8PNATqjW_VRA,Check out the iron boomerang proposal.,3,2023-10-23T04:21:06Z,2023-10-23T04:21:06Z,0,True,UgzJmOuPABg3uoPYB954AaABAg
