video_id,title,description,channel_title,channel_id,published_at,tags,category_id,view_count,like_count,comment_count,duration,url
IgeHOZHkAOU,Inside Rio Tinto’s most advanced mine,"Sky News Business Editor Edward Boyd has travelled to Rio Tinto’s Gudai-Darri mine in Western Australia to see the mining corporation's newest and most technologically advanced mine.

This is the first large-scale media trip Rio Tinto has hosted since the Juukan Gorge scandal – which saw 46,000-year-old aboriginal shelters blown up by the company. 

The $3.1 billion Gudai-Darri mine began its production in 2021 and reached its capacity of 43 million tonnes in less than four months.

Rio Tinto plans to invest a further $130 million – expanding the mine's output to 50 million tonnes. 

Gudai-Darri uses autonomous trucks, drills, water carts and trains – as well as remote control robots that inspect conveyor belts for bearing failures and damage.

The driverless trucks only stop to be refuelled or serviced.",Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,2023-10-23T02:42:20Z,"['6339686389112', 'business', 'fb', 'msn', 'yt']",25,261852,1793,198,PT6M20S,https://www.youtube.com/watch?v=IgeHOZHkAOU
scjP6LTc8Dw,"Rio Tinto cannot comment on rumors of merger talks, says CEO","Jakob Stausholm, the CEO of Rio Tinto, discusses the outlook for the global mining industry at the World Economic Forum in Davos.",CNBC International Live,UCF8HUTbUwPKh2Q-KpGOCVGw,2025-01-23T15:30:19Z,"['World economic forum', 'WEF', 'Davos']",25,1739,8,1,PT3M6S,https://www.youtube.com/watch?v=scjP6LTc8Dw
4XsIkcGeLEk,Rio Tinto | A look back on 2024,"In 2024, we provided the materials the world needs. 🌍

From iron ore in Australia to copper in Mongolia, our teams found safer, more efficient and more sustainable ways to supply the metals and minerals we rely on every day.

Thank you to our teams, suppliers, customers and partners for your support this year. We can’t wait for what 2025 has in store.

More information can be found on our website: www.riotinto.com
For news, please head to: www.riotinto.com/news
For careers, please head to: www.riotinto.com/careers

#FindingBetterWays",Rio Tinto,UCei9Q3LhmtaNCNG2_DHiCZA,2024-12-10T11:59:39Z,"['Rio Tinto', 'mining', 'innovation', 'decarbonisation', 'metals', 'minerals']",28,2558,35,8,PT3M6S,https://www.youtube.com/watch?v=4XsIkcGeLEk
6HOF8bC8vVg,Why Mining Giant Rio Tinto Is Benefitting From The EV Boom,"Copper mines, like this one in Utah, are on the frontline of America’s transition to clean energy. This site, owned and operated by mining giant Rio Tinto, produces roughly 200,000 metric tons of copper annually — with room to grow. Global demand for copper, a major component of EVs, is expected to almost double from 25 million metric tons to nearly 49 million metric tons by 2035. But miners face a multitude of issues as they ramp up production, not least of which includes mitigating environmental damage, addressing the concerns of the local stakeholders, and operating in remote regions of the world. 

Based in the UK, Rio Tinto is one of the world’s largest mining companies with projects in 35 countries. In addition to its 17 iron ore mines in Western Australia that produce material used in steel, its products include aluminum, diamonds, and boron, a component in fertilizer and smartphones. Historically miners have been known for their environmental impact but today are increasingly recognized as crucial players in the transition to green energy. So what is Rio Tinto doing to ramp up production of its critical minerals business and how will China’s economic slowdown impact its iron ore sector? CNBC got a behind the scenes look at Rio Tinto’s Utah operation to find out.

Chapters:
0:00-3:02 Intro 
3:02-6:25 Chapter 1 Kennecott
6:26-8:36 Chapter 2 History 
8:37-10:58 Chapter 3 Mining challenges 
10:59:13:30 Chapter 4 Automation in mining 

Produced and Shot by: Shawn Baldwin
Edited by: Darren Geeter
Supervising Producer: Jeniece Pettitt
Additional Camera: Katie Brigham, Magdalena Petrova
Animations: Christina Locopo
Narrated by: Robert Ferris
Additional Footage: Getty Images, Rio Tinto

» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision

About CNBC: From 'Wall Street' to 'Main Street' to award winning original documentaries and Reality TV series, CNBC has you covered. Experience special sneak peeks of your favorite shows, exclusive video and more.

Connect with CNBC News Online
Get the latest news: https://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

#CNBC

Why Mining Giant Rio Tinto Is Benefitting From The EV Boom",CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,2023-12-02T17:00:04Z,"['Rio Tinto', 'mining', 'copper', 'lithium', 'boron', 'gold', 'diamonds', 'workers', 'Utah', 'Australia', 'EVs', 'electric vehicles', 'environmental damage', 'Kennecott', 'mining operation', 'haul trucks', 'green energy', 'BHP', 'Alcan', 'Resolution Copper', 'CNBC', 'CNBC original', 'business', 'business news', 'finance', 'financial news', 'finances', 'tech', 'technology', 'tech news', 'stocks', 'investing', 'U.S. economy', 'economy', 'critical materials', 'global minerals', 'production', 'clean energy', 'nickel', 'cobalt', 'EV', 'electric vehicle batteries', 'electric vehicle materials']",25,573821,4815,369,PT13M29S,https://www.youtube.com/watch?v=6HOF8bC8vVg
GXYRD0Luhjg,Future of Aussie manufacturing under pressure after Rio Tinto admission | 9 News Australia,"Australian manufacturing is under pressure as mining giant Rio Tinto has declared its smelter north of Newcastle as untenable. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*

*Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*

FOLLOW 9News Australia
► Facebook: https://www.facebook.com/9News/
► Twitter: https://twitter.com/9NewsAUS
► Instagram: https://www.instagram.com/9news/

Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.

#9News #BreakingNews #NineNewsAustralia #9NewsAU",9 News Australia,UCIYLOcEUX6TbBo7HQVF2PKA,2025-10-28T07:38:25Z,"['9news', 'australianews', 'brisbanenews', 'channel9', 'channel9news', 'latestnews', 'melbournenews', 'newsaustralia', 'ninenews', 'ninenewsaustralia', 'sydneynews']",25,12249,47,37,PT2M6S,https://www.youtube.com/watch?v=GXYRD0Luhjg
0rnBfapuzq4,Inside Rio Tinto’s Kennecott copper mine: The largest open pit mine in the world,"As the White House calls to increase domestic mining, CNBC's Pippa Stevens goes inside one key copper mine in the U.S.",CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,2025-05-15T21:01:14Z,"['Worldwide Exchange', 'CNBC', 'business news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips', 'financial news', 'stock market news', 'stocks']",25,3640,33,2,PT2M32S,https://www.youtube.com/watch?v=0rnBfapuzq4
tzA0JCEKO0U,Stock of the day: Rio Tinto (RIO),"Buy, Hold, or Sell? Get the verdict on Rio Tinto from our experts David Novac and Thomas Atkinson on today's episode of 'the call'.",ausbiz,UCxvVvF_KzKLiGLQ2-MvU0KQ,2025-07-16T05:33:36Z,[],27,1034,26,16,PT6M15S,https://www.youtube.com/watch?v=tzA0JCEKO0U
rxs1Khtv0zA,"U.S. Borax, part of Rio Tinto, Operations Overview",Take a tour of the largest open pit mine in California as well as our shipping facility in the Port of Los Angeles. You'll meet the people who make our operation a success as well as the technology we use to bring you essential materials for modern life.,Rio Tinto,UCei9Q3LhmtaNCNG2_DHiCZA,2021-01-20T19:37:27Z,[],28,21687,284,4,PT16M13S,https://www.youtube.com/watch?v=rxs1Khtv0zA
6ICGk7Q_IsI,"Rio Tinto | Meet Kyle, a Maintenance Engineer at Gudai-Darri","Kyle’s one of our Maintenance Engineers who moved from a remote town in Queensland, Australia, to one of our most technologically advanced operations, Gudai-Darri, in Western Australia.

“The University of Queensland's InspireU program I went on it back in 2015, and it’s just a great way to show Indigenous kids, or people from remote communities, about engineering and STEM. I guess it’s what made me decide to pursue a tertiary education, and I doubt if I didn’t (join the program) that I’d have gone to Uni. It’s a really good program,” Kyle said.

“The energy transition and what the future of mining is going to look like is changing for the better.” 

🦺 See where a Grad role at Rio Tinto could take you: https://www.riotinto.com/en/careers/graduates-students

More information can be found on our website: www.riotinto.com
For news, please head to: www.riotinto.com/news
For careers, please head to: www.riotinto.com/careers

#FindingBetterWays #Student #Graduate",Rio Tinto,UCei9Q3LhmtaNCNG2_DHiCZA,2024-06-13T07:08:31Z,"['Rio Tinto', 'mining', 'innovation', 'decarbonisation', 'metals', 'minerals', 'students', 'graduates', 'grad roles', 'mining jobs']",28,4063,81,5,PT39S,https://www.youtube.com/watch?v=6ICGk7Q_IsI
lThEAswKJy0,Potential Rio Tinto-Glencore merger in the works,"Sky News Business Reporter Edward Boyd says Rio Tinto is already the second-largest mining company in the world. 

Mining giant Rio Tinto is reportedly holding merger talks with the global commodities trader Glencore. 

“The two, according to Bloomberg, are holding very early stages talks over a merger,” Mr Boyd said. 

“From Rio Tinto’s perspective, they are really keen to buy more future-facing commodities; new sorts of assets, things like lithium.”",Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,2025-01-17T01:32:43Z,"['6367200652112', 'business', 'fb', 'msn', 'yt']",25,6219,59,14,PT2M47S,https://www.youtube.com/watch?v=lThEAswKJy0
